province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Bac Lieu,2004,7,2004-07-01,285.5485462405627,253.806979370529,31.741566870033694,0.4535959008729893
Ca Mau,2004,7,2004-07-01,317.98782484902665,275.01135536077027,42.976469488256384,0.5582292216116819
Can Tho city,2004,7,2004-07-01,279.2550980121154,231.23900979865647,48.01608821345894,0.8690926515821612
Hau Giang,2004,7,2004-07-01,322.04720128337846,287.44811534431636,34.59908593906209,0.49973074809084317
An Giang,2004,7,2004-07-01,272.68258339404696,201.0466543748563,71.63592901919066,1.4655639688769362
Ben Tre,2004,7,2004-07-01,220.8405777131981,200.41607507672273,20.424502636475353,0.45070102255357747
Dong Thap,2004,7,2004-07-01,231.62208395530564,182.16879604465439,49.453287910651255,1.208235506692804
Kien Giang,2004,7,2004-07-01,395.49418397745086,312.61327918275373,82.88090479469713,1.0771671908496663
Long An,2004,7,2004-07-01,288.2988456313262,233.2932626711261,55.00558296020009,1.1419266451042351
Tien Giang,2004,7,2004-07-01,249.8183343186977,217.03359163022654,32.78474268847117,0.706286126121624
Soc Trang,2004,8,2004-08-01,269.41075333565936,248.50821175075484,20.902541584904526,0.4222707465537923
Tra Vinh,2004,8,2004-08-01,225.23380577169368,222.6970567527204,2.5367490189732678,0.0552259784014675
Vinh Long,2004,8,2004-08-01,192.3073865906257,204.691038524929,-12.383651934303316,-0.3135007035528306
Bac Lieu,2004,8,2004-08-01,331.6622246236074,290.51532250362015,41.14690211998726,0.670124807829765
Ca Mau,2004,8,2004-08-01,333.9603508117217,285.3516229322417,48.60872787948,0.724790447390791
Can Tho city,2004,8,2004-08-01,158.26466315209024,199.19164235846083,-40.92697920637059,-0.8568130940545634
Hau Giang,2004,8,2004-08-01,234.72339760326585,248.3426006936552,-13.619203090389362,-0.2540398494757992
An Giang,2004,8,2004-08-01,118.19017963495703,161.81253524050075,-43.62235560554372,-1.095476086245157
Ben Tre,2004,8,2004-08-01,187.863577806526,186.48751947143057,1.376058335095422,0.039358994868456364
Dong Thap,2004,8,2004-08-01,118.73826154750824,154.52442247051914,-35.7861609230109,-1.0485938426735035
